电影名,放映日期,周末,放映时间,影厅,票价,活动,年份,国家|地区,导演,豆瓣评分,评论人数,豆瓣链接,备注
逃走的女人,04月01日,周六,10:30,小西天艺术影院1号厅,40,,2020,韩国,洪常秀 Sang-soo Hong,7.2,17777,https://movie.douban.com/subject/34958725/,update: 0330 18:22:46
面包店的女孩+苏姗娜的故事,04月01日,周六,12:30,小西天艺术影院1号厅,60,,1963,法国,埃里克·侯麦,8.2 7.2,22755 11749,https://movie.douban.com/subject/1394348/ https://movie.douban.com/subject/1293030/,
女收藏家,04月01日,周六,14:30,小西天艺术影院1号厅,60,,1967,法国,埃里克·侯麦,7.8,13815,https://movie.douban.com/subject/1297344/,
东邪西毒：终极版,04月01日,周六,16:40,小西天艺术影院1号厅,80,,2008,"中国,中国香港,中国台湾",王家卫,8.8,189813,https://movie.douban.com/subject/3726072/,
夜半歌声,04月01日,周六,19:00,小西天艺术影院1号厅,80,,1995,"中国,新加坡",于仁泰,7.9,63370,https://movie.douban.com/subject/1304826/,
慕德家一夜,04月02日,周日,11:00,小西天艺术影院1号厅,60,,1969,法国,埃里克·侯麦,8.3,14095,https://movie.douban.com/subject/1296283/,
沙滩上的宝莲,04月02日,周日,13:30,百子湾艺术影院1号厅,50,,1983,法国,埃里克·侯麦 Éric Rohmer,8.1,15122,https://movie.douban.com/subject/1303534/,
英雄本色,04月02日,周日,13:40,小西天艺术影院1号厅,60,,1986,中国香港,吴宇森,8.6,521709,https://movie.douban.com/subject/1297574/,
绿光,04月02日,周日,15:30,百子湾艺术影院1号厅,50,,1986,法国,埃里克·侯麦 Éric Rohmer,8.1,34557,https://movie.douban.com/subject/1294039/,
胭脂扣,04月02日,周日,16:00,小西天艺术影院1号厅,60,,1987,中国香港,关锦鹏 Stanley Kwan,8.5,278382,https://movie.douban.com/subject/1299288/,
倩女幽魂,04月02日,周日,18:30,小西天艺术影院1号厅,60,,1987,中国香港,程小东,8.8,714767,https://movie.douban.com/subject/1297447/,
梅兰芳的舞台艺术（上）,04月04日,周二,18:30,小西天艺术影院2号厅,20,,1955,中国,吴祖光,8.9,373,https://movie.douban.com/subject/10430306/,
克莱尔的膝盖,04月04日,周二,19:00,小西天艺术影院1号厅,60,,1970,法国,埃里克·侯麦,7.8,13119,https://movie.douban.com/subject/1294915/,
升空号,04月06日,周四,18:30,小西天艺术影院2号厅,40,,1988,芬兰,阿基·考里斯马基 Aki Kaurismäki,8.2,5893,https://movie.douban.com/subject/1303377/,
午后之爱,04月06日,周四,19:00,小西天艺术影院1号厅,60,,1972,法国,埃里克·侯麦,8.4,18807,https://movie.douban.com/subject/1293963/,
列宁格勒牛仔征美记,04月07日,周五,18:30,小西天艺术影院2号厅,40,,1989,芬兰,阿基·考里斯马基 Aki Kaurismäki,8.4,17853,https://movie.douban.com/subject/1316560/,
女友的男友,04月07日,周五,19:00,百子湾艺术影院1号厅,50,,1987,法国,埃里克·侯麦 Éric Rohmer,8.4,31754,https://movie.douban.com/subject/1293776/,
射雕英雄传之东成西就,04月07日,周五,19:00,小西天艺术影院1号厅,60,,1993,中国香港,刘镇伟,8.7,618861,https://movie.douban.com/subject/1316510/,
纵横四海,04月08日,周六,11:00,小西天艺术影院1号厅,60,,1991,中国香港,吴宇森,8.8,410662,https://movie.douban.com/subject/1295409/,
阿飞正传,04月08日,周六,13:30,小西天艺术影院1号厅,80,,1990,中国香港,王家卫,8.5,494556,https://movie.douban.com/subject/1305690/,
白发魔女传,04月08日,周六,16:00,小西天艺术影院1号厅,80,,1993,中国香港,于仁泰,7.7,80819,https://movie.douban.com/subject/1293765/,
异度空间,04月08日,周六,18:30,小西天艺术影院1号厅,60,,2002,中国香港,罗志良,7.5,92847,https://movie.douban.com/subject/1303184/,
两生花,04月09日,周日,11:00,小西天艺术影院1号厅,60,,1991,"法国,波兰,挪威",克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,8.4,77125,https://movie.douban.com/subject/1291877/,
蓝白红三部曲之蓝,04月09日,周日,13:30,小西天艺术影院1号厅,60,,1993,"法国,波兰,瑞士",克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,8.5,130313,https://movie.douban.com/subject/1292048/,
春天的故事,04月09日,周日,13:30,百子湾艺术影院1号厅,50,,1990,法国,埃里克·侯麦 Éric Rohmer,8.4,62215,https://movie.douban.com/subject/1293632/,
蓝白红三部曲之白,04月09日,周日,16:00,小西天艺术影院1号厅,60,,1994,"法国,波兰,瑞士",克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,8.4,102214,https://movie.douban.com/subject/1292049/,
冬天的故事,04月09日,周日,16:00,百子湾艺术影院1号厅,50,,1992,法国,埃里克·侯麦 Éric Rohmer,8.5,40383,https://movie.douban.com/subject/1293388/,
蓝白红三部曲之红,04月09日,周日,18:30,小西天艺术影院1号厅,60,,1994,"法国,波兰,瑞士",克日什托夫·基耶斯洛夫斯基 Krzysztof Kieślowski,8.7,116207,https://movie.douban.com/subject/1292047/,
熊的故事,04月10日,周一,19:00,小西天艺术影院1号厅,60,有,1988,"法国,美国",让-雅克·阿诺,9.1,27059,https://movie.douban.com/subject/1300334/,
梅兰芳的舞台艺术（下）,04月11日,周二,18:30,小西天艺术影院2号厅,20,,1956,中国,吴祖光,9,360,https://movie.douban.com/subject/10430307/,
百元之恋,04月11日,周二,19:00,小西天艺术影院1号厅,50,,2014,日本,武正晴 Masaharu Take,8.4,153976,https://movie.douban.com/subject/25761178/,
没有过去的男人,04月12日,周三,18:30,小西天艺术影院2号厅,40,,2002,"芬兰,德国,法国",阿基·考里斯马基 Aki Kaurismäki,8.5,18393,https://movie.douban.com/subject/1307790/,
莫负青春,04月12日,周三,19:00,小西天艺术影院1号厅,10,,1948,中国香港,吴祖光,7.2,276,https://movie.douban.com/subject/2084794/,
风雪夜归人,04月12日,周三,19:00,百子湾艺术影院1号厅,10,,1948,中国,吴祖光,7,111,https://movie.douban.com/subject/6799197/,
薄暮之光,04月13日,周四,18:30,小西天艺术影院2号厅,40,,2007,"芬兰,法国,德国",阿基·考里斯马基 Aki Kaurismäki,7.8,7032,https://movie.douban.com/subject/1472907/,
纵横四海,04月13日,周四,19:00,小西天艺术影院1号厅,60,,1991,中国香港,吴宇森,8.8,410662,https://movie.douban.com/subject/1295409/,
勒阿弗尔,04月14日,周五,18:30,小西天艺术影院2号厅,40,,2011,"芬兰,法国,德国",阿基·考里斯马基 Aki Kaurismäki,8.1,10649,https://movie.douban.com/subject/4030657/,
英雄本色,04月14日,周五,19:00,小西天艺术影院1号厅,60,,1986,中国香港,吴宇森,8.6,521709,https://movie.douban.com/subject/1297574/,
双姝奇缘,04月14日,周五,19:00,百子湾艺术影院1号厅,50,,1987,法国,埃里克·侯麦 Éric Rohmer,8.7,24220,https://movie.douban.com/subject/1421309/,
射雕英雄传之东成西就,04月15日,周六,11:00,小西天艺术影院1号厅,60,,1993,中国香港,刘镇伟,8.7,618861,https://movie.douban.com/subject/1316510/,
夜半歌声,04月15日,周六,13:30,小西天艺术影院1号厅,80,,1995,"中国,新加坡",于仁泰,7.9,63370,https://movie.douban.com/subject/1304826/,
白发魔女传,04月15日,周六,16:00,小西天艺术影院1号厅,80,,1993,中国香港,于仁泰,7.7,80819,https://movie.douban.com/subject/1293765/,
阿飞正传,04月15日,周六,18:30,小西天艺术影院1号厅,80,,1990,中国香港,王家卫,8.5,494556,https://movie.douban.com/subject/1305690/,
倩女幽魂,04月16日,周日,11:00,小西天艺术影院1号厅,60,,1987,中国香港,程小东,8.8,714767,https://movie.douban.com/subject/1297447/,
胭脂扣,04月16日,周日,13:30,小西天艺术影院1号厅,60,,1987,中国香港,关锦鹏 Stanley Kwan,8.5,278382,https://movie.douban.com/subject/1299288/,
夏天的故事,04月16日,周日,13:30,百子湾艺术影院1号厅,50,,1996,法国,埃里克·侯麦 Éric Rohmer,8.3,49551,https://movie.douban.com/subject/1302675/,
秋天的故事,04月16日,周日,16:00,百子湾艺术影院1号厅,50,,1998,法国,埃里克·侯麦 Éric Rohmer,8.5,45091,https://movie.douban.com/subject/1294140/,
异度空间,04月16日,周日,16:00,小西天艺术影院1号厅,60,,2002,中国香港,罗志良,7.5,92847,https://movie.douban.com/subject/1303184/,
东邪西毒：终极版,04月16日,周日,18:30,小西天艺术影院1号厅,80,,2008,"中国,中国香港,中国台湾",王家卫,8.8,189813,https://movie.douban.com/subject/3726072/,
荒山泪,04月18日,周二,18:30,小西天艺术影院2号厅,20,,1956,中国,吴祖光,9.1,566,https://movie.douban.com/subject/3724033/,
德州巴黎,04月18日,周二,19:00,小西天艺术影院1号厅,60,,1984,"法国,英国,美国,西德",维姆·文德斯 Wim Wenders,8.6,61459,https://movie.douban.com/subject/1302061/,
红旗歌,04月19日,周三,19:00,百子湾艺术影院1号厅,10,,1950,中国,吴祖光,0,0,https://movie.douban.com/subject/4281709/,
偶然与想象,04月21日,周五,19:00,百子湾艺术影院1号厅,60,,2021,日本,滨口龙介 Ryûsuke Hamaguchi,8.3,67767,https://movie.douban.com/subject/35360296/,
夜以继日,04月23日,周日,13:30,百子湾艺术影院1号厅,50,,2018,"日本,法国",滨口龙介 Ryûsuke Hamaguchi,7.7,49053,https://movie.douban.com/subject/27037053/,
欢乐时光,04月23日,周日,16:00,百子湾艺术影院1号厅,100,,2015,日本,滨口龙介 Ryûsuke Hamaguchi,8.6,11806,https://movie.douban.com/subject/26550176/,
花为媒,04月26日,周三,19:00,百子湾艺术影院1号厅,10,,1963,"中国,中国香港",方荧,9.3,3577,https://movie.douban.com/subject/2357317/,
步履不停,04月28日,周五,19:00,百子湾艺术影院1号厅,50,,2008,日本,是枝裕和 Hirokazu Koreeda,8.8,272300,https://movie.douban.com/subject/2222996/,
